"Date","Price","Open","High","Low","Change %"
"Jul 11, 1983","1.5340","1.5340","1.5340","1.5340","-0.49%"
"Jul 08, 1983","1.5415","1.5415","1.5415","1.5415","0.16%"
"Jul 07, 1983","1.5390","1.5390","1.5390","1.5390","-0.03%"
"Jul 06, 1983","1.5395","1.5395","1.5395","1.5395","0.72%"
"Jul 05, 1983","1.5285","1.5285","1.5285","1.5285","-0.16%"
"Jul 01, 1983","1.5310","1.5310","1.5310","1.5310","-0.15%"
"Jun 30, 1983","1.5333","1.5333","1.5333","1.5333","0.37%"
"Jun 29, 1983","1.5277","1.5277","1.5277","1.5277","-0.31%"
"Jun 28, 1983","1.5325","1.5325","1.5325","1.5325","-0.33%"
"Jun 27, 1983","1.5375","1.5375","1.5375","1.5375","-0.52%"
"Jun 24, 1983","1.5455","1.5455","1.5455","1.5455","0.29%"
"Jun 23, 1983","1.5410","1.5410","1.5410","1.5410","0.69%"
"Jun 22, 1983","1.5305","1.5305","1.5305","1.5305","0.29%"
"Jun 21, 1983","1.5260","1.5260","1.5260","1.5260","-0.39%"
"Jun 20, 1983","1.5320","1.5320","1.5320","1.5320","0.59%"
"Jun 17, 1983","1.5230","1.5230","1.5230","1.5230","-0.26%"
"Jun 16, 1983","1.5270","1.5270","1.5270","1.5270","0.33%"
"Jun 15, 1983","1.5220","1.5220","1.5220","1.5220","-0.03%"
"Jun 14, 1983","1.5225","1.5225","1.5225","1.5225","-1.91%"
"Jun 13, 1983","1.5522","1.5522","1.5522","1.5522","-1.17%"
"Jun 10, 1983","1.5705","1.5705","1.5705","1.5705","-0.53%"
"Jun 09, 1983","1.5788","1.5788","1.5788","1.5788","0.59%"
"Jun 08, 1983","1.5696","1.5696","1.5696","1.5696","-0.15%"
"Jun 07, 1983","1.5720","1.5720","1.5720","1.5720","-0.25%"
"Jun 06, 1983","1.5760","1.5760","1.5760","1.5760","0.70%"
"Jun 03, 1983","1.5650","1.5650","1.5650","1.5650","-1.05%"
"Jun 02, 1983","1.5816","1.5816","1.5816","1.5816","-0.53%"
"Jun 01, 1983","1.5900","1.5900","1.5900","1.5900","-0.66%"
"May 31, 1983","1.6005","1.6005","1.6005","1.6005","-0.08%"
"May 27, 1983","1.6018","1.6018","1.6018","1.6018","-0.01%"
"May 26, 1983","1.6020","1.6020","1.6020","1.6020","1.05%"
"May 25, 1983","1.5854","1.5854","1.5854","1.5854","1.19%"
"May 24, 1983","1.5667","1.5667","1.5667","1.5667","0.67%"
"May 23, 1983","1.5562","1.5562","1.5562","1.5562","0.00%"
"May 20, 1983","1.5562","1.5562","1.5562","1.5562","0.22%"
"May 19, 1983","1.5528","1.5528","1.5528","1.5528","-0.37%"
"May 18, 1983","1.5585","1.5585","1.5585","1.5585","0.29%"
"May 17, 1983","1.5540","1.5540","1.5540","1.5540","-0.42%"
"May 16, 1983","1.5605","1.5605","1.5605","1.5605","-0.38%"
"May 13, 1983","1.5665","1.5665","1.5665","1.5665","-0.10%"
"May 12, 1983","1.5681","1.5681","1.5681","1.5681","-0.03%"
"May 11, 1983","1.5685","1.5685","1.5685","1.5685","0.26%"
"May 10, 1983","1.5645","1.5645","1.5645","1.5645","-0.22%"
"May 09, 1983","1.5680","1.5680","1.5680","1.5680","-0.70%"
"May 06, 1983","1.5790","1.5790","1.5790","1.5790","0.06%"
"May 05, 1983","1.5780","1.5780","1.5780","1.5780","-0.04%"
"May 04, 1983","1.5787","1.5787","1.5787","1.5787","0.03%"
"May 03, 1983","1.5782","1.5782","1.5782","1.5782","0.48%"
"May 02, 1983","1.5707","1.5707","1.5707","1.5707","0.86%"
"Apr 29, 1983","1.5573","1.5573","1.5573","1.5573","-0.12%"
